continent,location,date,population,new_vaccinations,TotalVaccinated,Vaccine_percentage
Asia,Afghanistan,2020-06-29,40099462,,,
Asia,Afghanistan,2020-06-30,40099462,,,
Asia,Afghanistan,2020-07-01,40099462,,,
Asia,Afghanistan,2020-07-02,40099462,,,
Asia,Afghanistan,2020-07-03,40099462,,,
Asia,Afghanistan,2020-07-04,40099462,,,
Asia,Afghanistan,2020-07-05,40099462,,,
Asia,Afghanistan,2020-07-06,40099462,,,
Asia,Afghanistan,2020-07-07,40099462,,,
Asia,Afghanistan,2020-07-08,40099462,,,
Asia,Afghanistan,2020-07-09,40099462,,,
Asia,Afghanistan,2020-07-10,40099462,,,
Asia,Afghanistan,2020-07-11,40099462,,,
Asia,Afghanistan,2020-07-12,40099462,,,
Asia,Afghanistan,2020-07-13,40099462,,,
Asia,Afghanistan,2020-07-14,40099462,,,
Asia,Afghanistan,2020-07-15,40099462,,,
Asia,Afghanistan,2020-07-16,40099462,,,
Asia,Afghanistan,2020-07-17,40099462,,,
Asia,Afghanistan,2020-07-18,40099462,,,
Asia,Afghanistan,2020-07-19,40099462,,,
Asia,Afghanistan,2020-07-20,40099462,,,
Asia,Afghanistan,2020-07-21,40099462,,,
Asia,Afghanistan,2020-07-22,40099462,,,
Asia,Afghanistan,2020-07-23,40099462,,,
Asia,Afghanistan,2020-07-24,40099462,,,
Asia,Afghanistan,2020-07-25,40099462,,,
Asia,Afghanistan,2020-07-26,40099462,,,
Asia,Afghanistan,2020-07-27,40099462,,,
Asia,Afghanistan,2020-07-28,40099462,,,
Asia,Afghanistan,2020-07-29,40099462,,,
Asia,Afghanistan,2020-07-30,40099462,,,
Asia,Afghanistan,2020-07-31,40099462,,,
Asia,Afghanistan,2020-08-01,40099462,,,
Asia,Afghanistan,2020-08-02,40099462,,,
Asia,Afghanistan,2020-08-03,40099462,,,
Asia,Afghanistan,2020-08-04,40099462,,,
Asia,Afghanistan,2020-08-05,40099462,,,
Asia,Afghanistan,2020-08-06,40099462,,,
Asia,Afghanistan,2020-08-07,40099462,,,
Asia,Afghanistan,2020-08-08,40099462,,,
Asia,Afghanistan,2020-08-09,40099462,,,
Asia,Afghanistan,2020-08-10,40099462,,,
Asia,Afghanistan,2020-08-11,40099462,,,
Asia,Afghanistan,2020-08-12,40099462,,,
Asia,Afghanistan,2020-08-13,40099462,,,
Asia,Afghanistan,2020-08-14,40099462,,,
Asia,Afghanistan,2020-08-15,40099462,,,
Asia,Afghanistan,2020-08-16,40099462,,,
Asia,Afghanistan,2020-08-17,40099462,,,
Asia,Afghanistan,2020-08-18,40099462,,,
Asia,Afghanistan,2020-08-19,40099462,,,
Asia,Afghanistan,2020-08-20,40099462,,,
Asia,Afghanistan,2020-08-21,40099462,,,
Asia,Afghanistan,2020-08-22,40099462,,,
Asia,Afghanistan,2020-08-23,40099462,,,
Asia,Afghanistan,2020-08-24,40099462,,,
Asia,Afghanistan,2020-08-25,40099462,,,
Asia,Afghanistan,2020-08-26,40099462,,,
Asia,Afghanistan,2020-08-27,40099462,,,
Asia,Afghanistan,2020-08-28,40099462,,,
Asia,Afghanistan,2020-08-29,40099462,,,
Asia,Afghanistan,2020-08-30,40099462,,,
Asia,Afghanistan,2020-08-31,40099462,,,
Asia,Afghanistan,2020-09-01,40099462,,,
Asia,Afghanistan,2020-09-02,40099462,,,
Asia,Afghanistan,2020-09-03,40099462,,,
Asia,Afghanistan,2020-09-04,40099462,,,
Asia,Afghanistan,2020-09-05,40099462,,,
Asia,Afghanistan,2020-09-06,40099462,,,
Asia,Afghanistan,2020-09-07,40099462,,,
Asia,Afghanistan,2020-09-08,40099462,,,
Asia,Afghanistan,2020-09-09,40099462,,,
Asia,Afghanistan,2020-09-10,40099462,,,
Asia,Afghanistan,2020-09-11,40099462,,,
Asia,Afghanistan,2020-09-12,40099462,,,
Asia,Afghanistan,2020-09-13,40099462,,,
Asia,Afghanistan,2020-09-14,40099462,,,
Asia,Afghanistan,2020-09-15,40099462,,,
Asia,Afghanistan,2020-09-16,40099462,,,
Asia,Afghanistan,2020-09-17,40099462,,,
Asia,Afghanistan,2020-09-18,40099462,,,
Asia,Afghanistan,2020-09-19,40099462,,,
Asia,Afghanistan,2020-09-20,40099462,,,
Asia,Afghanistan,2020-09-21,40099462,,,
Asia,Afghanistan,2020-09-22,40099462,,,
Asia,Afghanistan,2020-09-23,40099462,,,
Asia,Afghanistan,2020-09-24,40099462,,,
